customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenure_bucket,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_new_customer,num_services,avg_monthly_spend,is_high_value,is_month_to_month
7590-VHVEG,0,1,0,1,0,1,29.85,29.85,0,0-12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,29.85,0,1
5575-GNVDE,0,0,0,34,1,0,56.95,1889.5,0,25-48,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0,2,55.5735294117647,0,0
3668-QPYBK,0,0,0,2,1,1,53.85,108.15,1,0-12,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,54.075,0,1
7795-CFOCW,0,0,0,45,0,0,42.3,1840.75,0,25-48,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0,3,40.90555555555556,0,0
9237-HQITU,0,0,0,2,1,1,70.7,151.65,1,0-12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,75.825,0,1
9305-CDSKC,0,0,0,8,1,1,99.65,820.5,1,0-12,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,3,102.5625,1,1
1452-KIOVK,0,0,1,22,1,1,89.1,1949.4,0,13-24,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0,2,88.60909090909091,0,1
6713-OKOMC,0,0,0,10,0,0,29.75,301.9,0,0-12,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,30.189999999999998,0,1
7892-POOKP,0,1,0,28,1,1,104.8,3046.05,1,25-48,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0,4,108.78750000000001,1,1
6388-TABGU,0,0,1,62,1,0,56.15,3487.95,0,61-72,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2,56.25725806451613,0,0
9763-GRSKD,0,1,1,13,1,1,49.95,587.45,0,13-24,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,45.18846153846154,0,1
7469-LKBCI,0,0,0,16,1,0,18.95,326.8,0,13-24,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,20.425,0,0
8091-TTVAX,0,1,0,58,1,0,100.35,5681.1,0,49-60,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0,3,97.95,1,0
0280-XJGEX,0,0,0,49,1,1,103.7,5036.3,1,49-60,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0,4,102.78163265306122,1,1
5129-JLPIS,0,0,0,25,1,1,105.5,2686.05,0,25-48,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0,5,107.44200000000001,1,1
3655-SNQYZ,0,1,1,69,1,0,113.25,7895.15,0,61-72,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,6,114.42246376811593,1,0
8191-XWSZG,0,0,0,52,1,0,20.65,1022.95,0,49-60,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0,19.672115384615385,0,0
9959-WOFKT,0,0,1,71,1,0,106.7,7382.25,0,61-72,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0,4,103.97535211267606,1,0
4190-MFLUW,0,1,1,10,1,0,55.2,528.35,1,0-12,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0,2,52.835,0,1
4183-MYFRB,0,0,0,21,1,1,90.05,1862.9,0,13-24,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0,3,88.70952380952382,1,1
8779-QRDMV,1,0,0,1,0,1,39.65,39.65,1,0-12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1,2,39.65,0,1
1680-VDCWW,0,1,0,12,1,0,19.8,202.25,0,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0,0,16.854166666666668,0,0
1066-JKSGK,0,0,0,1,1,0,20.15,20.15,1,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1,0,20.15,0,1
3638-WEABW,0,1,0,58,1,1,59.9,3505.1,0,49-60,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0,2,60.432758620689654,0,0
6322-HRPFA,0,1,1,49,1,0,59.6,2970.3,0,49-60,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,3,60.61836734693878,0,1
6865-JZNKO,0,0,0,30,1,1,55.3,1530.6,0,25-48,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,51.019999999999996,0,1
6467-CHFZW,0,1,1,47,1,1,99.35,4749.15,1,25-48,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,3,101.04574468085106,1,1
8665-UTDHZ,0,1,1,1,0,0,30.2,30.2,1,0-12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,30.2,0,1
5248-YGIJN,0,1,0,72,1,1,90.25,6369.45,0,61-72,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,6,88.46458333333334,1,0
8773-HHUOZ,0,0,1,17,1,1,64.7,1093.1,1,13-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0,2,64.3,0,1
3841-NFECX,1,1,0,71,1,1,96.35,6766.95,0,61-72,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0,4,95.30915492957746,1,0
4929-XIHVW,1,1,0,2,1,1,95.5,181.65,0,0-12,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1,3,90.825,1,1
6827-IEAUQ,0,1,1,27,1,0,66.15,1874.45,0,25-48,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0,4,69.42407407407407,0,0
7310-EGVHZ,0,0,0,1,1,0,20.2,20.2,0,0-12,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1,0,20.2,0,1
3413-BMNZE,1,0,0,1,1,0,45.25,45.25,0,0-12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,45.25,0,1
6234-RAAPL,0,1,1,72,1,0,99.9,7251.7,0,61-72,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0,4,100.71805555555555,1,0
6047-YHPVI,0,0,0,5,1,1,69.7,316.9,1,0-12,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,63.379999999999995,0,1
6572-ADKRS,0,0,0,46,1,1,74.8,3548.3,0,25-48,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1,77.13695652173914,0,1
5380-WJKOV,0,0,0,34,1,1,106.35,3549.25,1,25-48,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0,4,104.38970588235294,1,1
8168-UQWWF,0,0,0,11,1,1,97.85,1105.4,1,0-12,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0,3,100.4909090909091,1,1
8865-TNMNX,0,1,1,10,1,0,49.55,475.7,0,0-12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0,1,47.57,0,0
9489-DEDVP,0,1,1,70,1,1,69.2,4872.35,0,61-72,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0,3,69.605,0,0
9867-JCZSP,0,1,1,17,1,0,20.75,418.25,0,13-24,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0,24.602941176470587,0,0
4671-VJLCL,0,0,0,63,1,1,79.85,4861.45,0,61-72,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,5,77.16587301587302,0,0
4080-IIARD,0,1,0,13,1,1,76.2,981.45,0,13-24,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0,4,75.49615384615385,0,1
3714-NTNFO,0,0,0,49,1,1,84.5,3906.7,0,49-60,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,1,79.72857142857143,0,1
5948-UJZLF,0,0,0,2,1,0,49.25,97.0,0,0-12,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,48.5,0,1
7760-OYPDY,0,0,0,2,1,1,80.65,144.15,1,0-12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,1,72.075,0,1
7639-LIAYI,0,0,0,52,1,1,79.75,4217.8,0,49-60,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0,4,81.11153846153846,0,0
2954-PIBKO,0,1,1,69,1,1,64.15,4254.1,0,61-72,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0,3,61.6536231884058,0,0
8012-SOUDQ,1,0,0,43,1,1,90.25,3838.75,0,25-48,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,2,89.27325581395348,1,1
9420-LOJKX,0,0,0,15,1,1,99.1,1426.4,1,13-24,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,4,95.09333333333333,1,1
6575-SUVOI,1,1,0,25,1,1,69.5,1752.65,0,25-48,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0,3,70.10600000000001,0,1
7495-OOKFY,1,1,0,8,1,1,80.65,633.3,1,0-12,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,79.1625,0,1
4667-QONEA,1,1,1,60,1,1,74.85,4456.35,0,49-60,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,0,5,74.27250000000001,0,0
1658-BYGOY,1,0,0,18,1,1,95.45,1752.55,1,13-24,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,2,97.36388888888888,1,1
8769-KKTPH,0,1,1,63,1,1,99.65,6311.2,0,61-72,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0,3,100.17777777777778,1,0
5067-XJQFU,1,1,1,66,1,1,108.45,7076.35,0,61-72,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0,5,107.21742424242424,1,0
3957-SQXML,0,1,1,34,1,0,24.95,894.3,0,25-48,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,26.302941176470586,0,0
5954-BDFSG,0,0,0,72,1,1,107.5,7853.7,0,61-72,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0,4,109.07916666666667,1,0
0434-CSFON,0,1,0,47,1,1,100.5,4707.1,0,25-48,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,3,100.15106382978725,1,1
1215-FIGMP,0,0,0,60,1,1,89.9,5450.7,0,49-60,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2,90.845,1,1
0526-SXDJP,0,1,0,72,0,0,42.1,2962.0,0,61-72,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,3,41.138888888888886,0,0
0557-ASKVU,0,1,1,18,1,1,54.4,957.1,0,13-24,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,2,53.172222222222224,0,0
5698-BQJOH,0,0,0,9,1,0,94.4,857.25,1,0-12,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,2,95.25,1,1
5122-CYFXA,0,0,0,3,1,1,75.3,244.1,0,0-12,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,1,4,81.36666666666666,0,1
8627-ZYGSZ,0,1,0,47,1,1,78.9,3650.35,0,25-48,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0,1,77.66702127659575,0,0
3410-YOQBQ,0,0,0,31,1,0,79.2,2497.2,0,25-48,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0,5,80.55483870967741,0,0
3170-NMYVV,0,1,1,50,1,0,20.15,930.9,0,49-60,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,18.618,0,0
7410-OIEDU,0,0,0,10,1,1,79.85,887.35,0,0-12,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,2,88.735,0,1
2273-QCKXA,0,0,0,1,1,0,49.05,49.05,0,0-12,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,1,49.05,0,1
0731-EBJQB,0,1,1,52,1,1,20.4,1090.65,0,49-60,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0,0,20.974038461538463,0,0
1891-QRQSA,1,1,1,64,1,1,111.6,7099.0,0,61-72,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0,5,110.921875,1,0
8028-PNXHQ,0,1,1,62,1,1,24.25,1424.6,0,61-72,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0,22.97741935483871,0,0
5630-AHZIL,0,0,1,3,1,1,64.5,177.4,0,0-12,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,3,59.13333333333333,0,1
2673-CXQEU,1,0,0,56,1,0,110.5,6139.5,0,49-60,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0,5,109.63392857142857,1,0
6416-JNVRK,0,0,0,46,1,0,55.65,2688.85,0,25-48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0,1,58.45326086956521,0,0
5590-ZSKRV,0,1,1,8,1,0,54.65,482.25,0,0-12,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2,60.28125,0,1
0191-ZHSKZ,1,0,0,30,1,1,74.75,2111.3,0,25-48,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,4,70.37666666666668,0,1
3887-PBQAO,0,1,1,45,1,1,25.9,1216.6,0,25-48,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0,27.035555555555554,0,0
5919-TMRGD,0,0,1,1,1,1,79.35,79.35,1,0-12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,1,79.35,0,1
