customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_new_customer,num_services,avg_monthly_spend,is_high_value,is_month_to_month,tenure_bucket_13-24,tenure_bucket_25-48,tenure_bucket_49-60,tenure_bucket_61-72,churn_probability,risk_segment
7590-VHVEG,0,1,0,1,0,1,29.85,29.85,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,29.85,0,1,False,False,False,False,0.7544930730435174,High Risk
5575-GNVDE,0,0,0,34,1,0,56.95,1889.5,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0,2,55.5735294117647,0,0,False,True,False,False,0.12532944570878687,Low Risk
3668-QPYBK,0,0,0,2,1,1,53.85,108.15,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,54.075,0,1,False,False,False,False,0.682589634926204,High Risk
7795-CFOCW,0,0,0,45,0,0,42.3,1840.75,0,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0,3,40.90555555555556,0,0,False,True,False,False,0.12969904905793636,Low Risk
9237-HQITU,0,0,0,2,1,1,70.7,151.65,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,75.825,0,1,False,False,False,False,0.8513406267005822,High Risk
9305-CDSKC,0,0,0,8,1,1,99.65,820.5,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,3,102.5625,1,1,False,False,False,False,0.8858261203969621,High Risk
1452-KIOVK,0,0,1,22,1,1,89.1,1949.4,0,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0,2,88.60909090909091,0,1,True,False,False,False,0.6334744786258061,High Risk
6713-OKOMC,0,0,0,10,0,0,29.75,301.9,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,30.19,0,1,False,False,False,False,0.43651057570504537,Medium Risk
7892-POOKP,0,1,0,28,1,1,104.8,3046.05,1,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0,4,108.7875,1,1,False,True,False,False,0.7407631770719767,High Risk
6388-TABGU,0,0,1,62,1,0,56.15,3487.95,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2,56.25725806451613,0,0,False,False,False,True,0.0869424375349701,Low Risk
9763-GRSKD,0,1,1,13,1,1,49.95,587.45,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,1,45.18846153846154,0,1,True,False,False,False,0.33996444498815637,Medium Risk
7469-LKBCI,0,0,0,16,1,0,18.95,326.8,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0,20.425,0,0,True,False,False,False,0.02761353146848032,Low Risk
8091-TTVAX,0,1,0,58,1,0,100.35,5681.1,0,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0,3,97.95,1,0,False,False,True,False,0.38260715885523505,Medium Risk
0280-XJGEX,0,0,0,49,1,1,103.7,5036.3,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0,4,102.78163265306122,1,1,False,False,True,False,0.6696636704493553,High Risk
5129-JLPIS,0,0,0,25,1,1,105.5,2686.05,0,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0,5,107.442,1,1,False,True,False,False,0.6143653880758434,High Risk
3655-SNQYZ,0,1,1,69,1,0,113.25,7895.15,0,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,6,114.42246376811592,1,0,False,False,False,True,0.08159806855951113,Low Risk
